strategy,event_id,asx_ticker,direction,entry_date,entry_price,exit_date,exit_price,gross_return,adv_dollars,participation,capped,cost_bps_roundtrip,net_return,harsh_net_return,exposure_days,capital,pnl_net,rejected,reject_reason,year,theme,provider,market_cap
IndexInclusionDrift,c63bda347997,ASB.AX,1,2024-03-04,2.03,2024-03-18,2.15,0.05911330049261099,1267897.5742857142,0.07887072428254802,False,223.74144856509602,0.03673915563610139,0.01596501077959178,10,100000.0,3673.915563610139,False,,2024,,S&P Dow Jones Indices,
IndexInclusionDrift,2e51c48c53d5,NCK.AX,1,2024-03-04,14.25,2024-03-18,14.8,0.038596491228070295,4421173.282857142,0.022618430358236474,False,111.23686071647295,0.027472805156423002,0.017949119084775707,10,100000.0,2747.2805156423,False,,2024,,S&P Dow Jones Indices,
IndexInclusionDrift,6016ca2a386c,GYG.AX,1,2024-09-09,39.8,2024-09-23,39.57,-0.005778894472361684,10322170.461551726,0.009687884963000994,False,85.375769926002,-0.014316471464961884,-0.021254048457562083,10,100000.0,-1431.6471464961885,False,,2024,,S&P Dow Jones Indices,
IndexInclusionDrift,3ba13c0db73e,WGX.AX,1,2024-09-09,2.8,2024-09-23,2.75,-0.017857142857142794,15411631.755873013,0.006488605592454046,False,78.9772111849081,-0.025754863975633605,-0.03205258509412441,10,100000.0,-2575.4863975633602,False,,2024,,S&P Dow Jones Indices,
IndexInclusionDrift,2334e9d0f96f,YAL.AX,1,2024-09-09,5.45,2024-09-23,5.63,0.03302752293577971,23004159.386825398,0.004347039955620831,False,74.69407991124166,0.02555811494465554,0.019688706953531376,10,100000.0,2555.811494465554,False,,2024,,S&P Dow Jones Indices,
IndexInclusionDrift,98a977fa0439,CSC.AX,1,2025-03-10,9.08,2025-03-24,9.57,0.05396475770925102,7729847.285396825,0.012936866189959447,False,91.87373237991889,0.04477738447125913,0.03719001123326725,10,100000.0,4477.738447125913,False,,2025,,S&P Dow Jones Indices,
IndexInclusionDrift,6c84af7ba0e8,DGT.AX,1,2025-03-10,4.19,2025-03-24,3.54,-0.1551312649164679,10793256.50310345,0.009265044333121,False,84.530088666242,-0.1635842737830921,-0.1704372826497163,10,100000.0,-16358.427378309209,False,,2025,,S&P Dow Jones Indices,
IndexInclusionDrift,e611bcf74128,IMD.AX,1,2025-03-10,2.96,2025-03-24,2.96,0.0,2352200.768730159,0.04251337782445554,False,151.0267556489111,-0.015102675564891109,-0.028605351129782217,10,100000.0,-1510.2675564891108,False,,2025,,S&P Dow Jones Indices,
IndexInclusionDrift,18e0071d7fe0,MAQ.AX,1,2025-03-10,68.28,2025-03-24,67.91,-0.005418863503222071,4158842.222063492,0.024045153593343825,False,114.09030718668765,-0.016827894221890835,-0.026636924940559602,10,100000.0,-1682.7894221890836,False,,2025,,S&P Dow Jones Indices,
IndexInclusionDrift,8d50c2e289e0,NXL.AX,1,2025-03-10,3.35,2025-03-24,3.17,-0.05373134328358209,5922969.786984127,0.016883422268969273,False,99.76684453793854,-0.06370802773737594,-0.0720847121911698,10,100000.0,-6370.802773737594,False,,2025,,S&P Dow Jones Indices,
IndexInclusionDrift,2356a6929cdf,SPR.AX,1,2025-03-10,1.44,2025-03-24,1.7,0.18055555555555558,5452957.683809524,0.018338671561107436,False,102.67734312221486,0.17028782124333408,0.1616200869311126,10,100000.0,17028.782124333407,False,,2025,,S&P Dow Jones Indices,
IndexInclusionDrift,8cb128ebe1a4,TPW.AX,1,2025-03-10,16.38,2025-03-24,16.73,0.021367521367521514,5533244.408571428,0.0180725795963562,False,102.1451591927124,0.011153005448250274,0.0025384895289790356,10,100000.0,1115.3005448250274,False,,2025,,S&P Dow Jones Indices,
