strategy,event_id,asx_ticker,direction,entry_date,entry_price,exit_date,exit_price,gross_return,adv_dollars,participation,capped,cost_bps_roundtrip,net_return,harsh_net_return,exposure_days,capital,pnl_net,rejected,reject_reason,year,theme,provider,market_cap
S1_ADD_runup_T-3,daf1bc258ca1,FDXF,1,,,2026-06-01,,-0.009735099337748299,,0.0,False,,-0.0107350993377483,-0.012735099337748298,3,,-1073.50993377483,False,,2026,S&P 500,US,
S1x_ADD_excess_T-3,c4940d136767,FDXF,1,,,2026-06-01,,-0.020501829076841505,,0.0,False,,-0.021501829076841505,-0.023501829076841504,3,,-2150.1829076841505,False,,2026,S&P 500,US,
S1_ADD_runup_T-1,9e2d943943c4,FDXF,1,,,2026-06-01,,-0.06759368959281664,,0.0,False,,-0.06859368959281664,-0.07059368959281664,1,,-6859.3689592816645,False,,2026,S&P 500,US,
S1x_ADD_excess_T-1,1afc91c83783,FDXF,1,,,2026-06-01,,-0.07031682834070141,,0.0,False,,-0.07131682834070141,-0.07331682834070141,1,,-7131.682834070141,False,,2026,S&P 500,US,
S2_ADD_postdrift_eff_+10,63b9decfad8c,FDXF,1,,,2026-06-01,,0.117902761987561,,0.0,False,,0.116902761987561,0.114902761987561,10,,11690.2761987561,False,,2026,S&P 500,US,
S3_DEL_short_eff_+10,77c11199b7a7,EPAM,-1,,,2026-06-01,,0.1474806914306731,,0.0,False,,0.1464806914306731,0.1444806914306731,10,,14648.06914306731,False,,2026,S&P 500,US,
S1_ADD_runup_T-5,74bf168a310a,VEEV,1,,,2026-05-07,,0.07873308969673665,,0.0,False,,0.07773308969673665,0.07573308969673664,5,,7773.308969673664,False,,2026,S&P 500,US,
S1x_ADD_excess_T-5,48b2e05b4525,VEEV,1,,,2026-05-07,,0.06075518637666866,,0.0,False,,0.059755186376668656,0.057755186376668655,5,,5975.518637666865,False,,2026,S&P 500,US,
S1_ADD_runup_T-3,05baa0d019c2,VEEV,1,,,2026-05-07,,-0.011573258136529208,,0.0,False,,-0.012573258136529208,-0.014573258136529207,3,,-1257.325813652921,False,,2026,S&P 500,US,
S1x_ADD_excess_T-3,4dfe5161ce6d,VEEV,1,,,2026-05-07,,-0.030472716361345076,,0.0,False,,-0.03147271636134508,-0.03347271636134508,3,,-3147.271636134508,False,,2026,S&P 500,US,
S1_ADD_runup_T-1,6df3b291b949,VEEV,1,,,2026-05-07,,0.00537795040334621,,0.0,False,,0.00437795040334621,0.00237795040334621,1,,437.795040334621,False,,2026,S&P 500,US,
S1x_ADD_excess_T-1,74046e23a11d,VEEV,1,,,2026-05-07,,0.008444055632077618,,0.0,False,,0.007444055632077618,0.005444055632077618,1,,744.4055632077618,False,,2026,S&P 500,US,
S2_ADD_postdrift_eff_+10,f19e851ed23f,VEEV,1,,,2026-05-07,,-0.05931649331352151,,0.0,False,,-0.06031649331352151,-0.062316493313521515,10,,-6031.649331352151,False,,2026,S&P 500,US,
S1_ADD_runup_T-5,7bf333fc98f2,CASY,1,,,2026-04-09,,0.029301644147810446,,0.0,False,,0.028301644147810445,0.026301644147810447,5,,2830.1644147810443,False,,2026,S&P 500,US,
S1x_ADD_excess_T-5,016669586a21,CASY,1,,,2026-04-09,,-0.00834868245007736,,0.0,False,,-0.009348682450077361,-0.01134868245007736,5,,-934.8682450077362,False,,2026,S&P 500,US,
S1_ADD_runup_T-3,e61e649553a0,CASY,1,,,2026-04-09,,0.014697032509996433,,0.0,False,,0.013697032509996432,0.011697032509996434,3,,1369.7032509996432,False,,2026,S&P 500,US,
S1x_ADD_excess_T-3,39607d3027e2,CASY,1,,,2026-04-09,,-0.017142464856946926,,0.0,False,,-0.018142464856946927,-0.020142464856946925,3,,-1814.2464856946926,False,,2026,S&P 500,US,
S1_ADD_runup_T-1,89b5f17950bf,CASY,1,,,2026-04-09,,0.0005142608489259182,,0.0,False,,-0.00048573915107408185,-0.002485739151074082,1,,-48.57391510740818,False,,2026,S&P 500,US,
S1x_ADD_excess_T-1,01965af80a94,CASY,1,,,2026-04-09,,-0.005254884577916785,,0.0,False,,-0.006254884577916785,-0.008254884577916784,1,,-625.4884577916786,False,,2026,S&P 500,US,
S2_ADD_postdrift_eff_+10,070a0c16f0ea,CASY,1,,,2026-04-09,,0.04093521007960366,,0.0,False,,0.039935210079603656,0.037935210079603654,10,,3993.5210079603658,False,,2026,S&P 500,US,
S1_ADD_runup_T-5,c0efab2a0a7d,VRT,1,,,2026-03-23,,-0.03301352270151847,,0.0,False,,-0.03401352270151847,-0.036013522701518474,5,,-3401.3522701518473,False,,2026,S&P 500,US,
S1x_ADD_excess_T-5,61f6cbd4decd,VRT,1,,,2026-03-23,,-0.0126108501756228,,0.0,False,,-0.013610850175622802,-0.0156108501756228,5,,-1361.0850175622802,False,,2026,S&P 500,US,
S1_ADD_runup_T-3,141ac03ee34c,VRT,1,,,2026-03-23,,-0.032903932605492736,,0.0,False,,-0.03390393260549274,-0.03590393260549274,3,,-3390.3932605492737,False,,2026,S&P 500,US,
S1x_ADD_excess_T-3,975cc09b61ae,VRT,1,,,2026-03-23,,-0.023757084110565097,,0.0,False,,-0.024757084110565097,-0.026757084110565096,3,,-2475.7084110565097,False,,2026,S&P 500,US,
S1_ADD_runup_T-1,a2ed540f3246,VRT,1,,,2026-03-23,,0.0004689698296076461,,0.0,False,,-0.0005310301703923539,-0.002531030170392354,1,,-53.10301703923539,False,,2026,S&P 500,US,
S1x_ADD_excess_T-1,a51440d8fb1d,VRT,1,,,2026-03-23,,-0.010031053298196424,,0.0,False,,-0.011031053298196425,-0.013031053298196423,1,,-1103.1053298196425,False,,2026,S&P 500,US,
S2_ADD_postdrift_eff_+10,1d6eb565aa64,VRT,1,,,2026-03-23,,0.024609375000000044,,0.0,False,,0.023609375000000044,0.021609375000000045,10,,2360.9375000000045,False,,2026,S&P 500,US,
S3_DEL_short_eff_+10,83dbd55e99da,MTCH,-1,,,2026-03-23,,-0.023076923076923217,,0.0,False,,-0.024076923076923218,-0.026076923076923216,10,,-2407.6923076923217,False,,2026,S&P 500,US,
S1_ADD_runup_T-5,043719c30685,COHR,1,,,2026-03-23,,0.031046610340785152,,0.0,False,,0.03004661034078515,0.028046610340785153,5,,3004.661034078515,False,,2026,S&P 500,US,
S1x_ADD_excess_T-5,528fbd6716d0,COHR,1,,,2026-03-23,,0.05144928286668082,,0.0,False,,0.05044928286668082,0.04844928286668082,5,,5044.928286668082,False,,2026,S&P 500,US,
S1_ADD_runup_T-3,998bd21193f6,COHR,1,,,2026-03-23,,-0.00839780723922079,,0.0,False,,-0.00939780723922079,-0.011397807239220788,3,,-939.780723922079,False,,2026,S&P 500,US,
S1x_ADD_excess_T-3,8c02b2949278,COHR,1,,,2026-03-23,,0.0007490412557068504,,0.0,False,,-0.0002509587442931496,-0.0022509587442931496,3,,-25.09587442931496,False,,2026,S&P 500,US,
S1_ADD_runup_T-1,ff1edbc71be6,COHR,1,,,2026-03-23,,0.005598706777589557,,0.0,False,,0.004598706777589557,0.002598706777589557,1,,459.8706777589557,False,,2026,S&P 500,US,
S1x_ADD_excess_T-1,6d8769896a86,COHR,1,,,2026-03-23,,-0.004901316350214513,,0.0,False,,-0.005901316350214513,-0.007901316350214512,1,,-590.1316350214513,False,,2026,S&P 500,US,
S2_ADD_postdrift_eff_+10,20079c441408,COHR,1,,,2026-03-23,,0.00019603999215833667,,0.0,False,,-0.0008039600078416633,-0.0028039600078416634,10,,-80.39600078416633,False,,2026,S&P 500,US,
S3_DEL_short_eff_+10,1aa72c712b24,LW,-1,,,2026-03-23,,0.0070956691950085915,,0.0,False,,0.0060956691950085915,0.0040956691950085914,10,,609.5669195008592,False,,2026,S&P 500,US,
S1_ADD_runup_T-5,94ee6f9be175,SATS,1,,,2026-03-23,,-0.04233359573165396,,0.0,False,,-0.04333359573165396,-0.045333595731653964,5,,-4333.359573165396,False,,2026,S&P 500,US,
S1x_ADD_excess_T-5,569560eaf12c,SATS,1,,,2026-03-23,,-0.02193092320575829,,0.0,False,,-0.02293092320575829,-0.02493092320575829,5,,-2293.092320575829,False,,2026,S&P 500,US,
